Justin Lee,justin_lee,Justin,Lee,justin_lee@gmail.com,930615Fly,I love Large Language Models NLP Artificial Intelligence Conversational AI,"[8, 0, 11, 13]"
Conor Dewey,conor_dewey,Conor,Dewey,conor_dewey@gmail.com,930615Fly,I love Programming Machine Learning Development Startup Career Data Science Artificial Intelligence Python,"[1, 2, 3, 4, 6, 7, 8, 14]"
William Koehrsen,william_koehrsen,William,Koehrsen,william_koehrsen@gmail.com,930615Fly,I love Artificial Intelligence Machine Learning Python Data Science,"[8, 2, 14, 7]"
Gant Laborde,gant_laborde,Gant,Laborde,gant_laborde@gmail.com,930615Fly,I love Artificial Intelligence Machine Learning Python Data Science,"[8, 2, 14, 7]"
Emmanuel Ameisen,emmanuel_ameisen,Emmanuel,Ameisen,emmanuel_ameisen@gmail.com,930615Fly,I love Deep Learning Artificial Intelligence Machine Learning Data Science,"[8, 10, 2, 7]"
Irhum Shafkat,irhum_shafkat,Irhum,Shafkat,irhum_shafkat@gmail.com,930615Fly,I love Machine Learning Algorithms Deep Learning Neural Networks Python,"[2, 9, 10, 12, 14]"
Sam Drozdov,sam_drozdov,Sam,Drozdov,sam_drozdov@gmail.com,930615Fly,I love Programming Machine Learning Python Data Science,"[2, 3, 14, 7]"
Abhishek Parbhakar,abhishek_parbhakar,Abhishek,Parbhakar,abhishek_parbhakar@gmail.com,930615Fly,I love Development Machine Learning Career Artificial Intelligence Algorithms Deep Learning Neural Networks Python,"[1, 2, 6, 8, 9, 10, 12, 14]"
Aman Dalmia,aman_dalmia,Aman,Dalmia,aman_dalmia@gmail.com,930615Fly,I love Development Artificial Intelligence Startup Career,"[8, 1, 4, 6]"
Sophia Arakelyan,sophia_arakelyan,Sophia,Arakelyan,sophia_arakelyan@gmail.com,930615Fly,I love Machine Learning Development Artificial Intelligence Career,"[8, 1, 2, 6]"
Anonymous Author,anonymous_author,Anonymous,Author,anonymous_author@gmail.com,930615Fly,I love Large Language Models Development Machine Learning Programming Computer Vision Career Data Science Artificial Intelligence Algorithms Deep Learning NLP Neural Networks Conversational AI Python,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
Scott Santens,scott_santens,Scott,Santens,scott_santens@gmail.com,930615Fly,I love Machine Learning Development Artificial Intelligence Career,"[8, 1, 2, 6]"
Adam Geitgey,adam_geitgey,Adam,Geitgey,adam_geitgey@gmail.com,930615Fly,I love Large Language Models Machine Learning Computer Vision Data Science Artificial Intelligence Deep Learning NLP Neural Networks Conversational AI Python,"[0, 2, 5, 7, 8, 10, 11, 12, 13, 14]"
Xiaohan Zeng,xiaohan_zeng,Xiaohan,Zeng,xiaohan_zeng@gmail.com,930615Fly,I love Programming Machine Learning Python Data Science,"[2, 3, 14, 7]"
Gil Fewster,gil_fewster,Gil,Fewster,gil_fewster@gmail.com,930615Fly,I love Machine Learning Development Artificial Intelligence Career,"[8, 1, 2, 6]"
David Venturi,david_venturi,David,Venturi,david_venturi@gmail.com,930615Fly,I love Programming Machine Learning Career Data Science,"[2, 3, 6, 7]"
Michael Jordan,michael_jordan,Michael,Jordan,michael_jordan@gmail.com,930615Fly,I love Machine Learning Development Artificial Intelligence Career,"[8, 1, 2, 6]"
Eran Kampf,eran_kampf,Eran,Kampf,eran_kampf@gmail.com,930615Fly,I love Programming Machine Learning Career Data Science,"[2, 3, 6, 7]"
Oliver Lindberg,oliver_lindberg,Oliver,Lindberg,oliver_lindberg@gmail.com,930615Fly,I love Large Language Models NLP Artificial Intelligence Conversational AI,"[8, 0, 11, 13]"
Wolf Garbe,wolf_garbe,Wolf,Garbe,wolf_garbe@gmail.com,930615Fly,I love Large Language Models NLP Artificial Intelligence Conversational AI,"[8, 0, 11, 13]"
Paul Christiano,paul_christiano,Paul,Christiano,paul_christiano@gmail.com,930615Fly,I love Machine Learning Development Artificial Intelligence Career,"[8, 1, 2, 6]"
Robbie Tilton,robbie_tilton,Robbie,Tilton,robbie_tilton@gmail.com,930615Fly,I love Machine Learning Development Artificial Intelligence Career,"[8, 1, 2, 6]"
James Faghmous ,james_faghmous_,James,Faghmous,james_faghmous_@gmail.com,930615Fly,I love Artificial Intelligence Machine Learning Python Data Science,"[8, 2, 14, 7]"
Akash Shende,akash_shende,Akash,Shende,akash_shende@gmail.com,930615Fly,I love Deep Learning Machine Learning Neural Networks Computer Vision,"[10, 2, 12, 5]"
Hrishikesh Huilgolkar,hrishikesh_huilgolkar,Hrishikesh,Huilgolkar,hrishikesh_huilgolkar@gmail.com,930615Fly,I love Artificial Intelligence Machine Learning Python Data Science,"[8, 2, 14, 7]"
Shivon Zilis,shivon_zilis,Shivon,Zilis,shivon_zilis@gmail.com,930615Fly,I love Machine Learning Development Artificial Intelligence Career,"[8, 1, 2, 6]"
Yingjie Miao ,yingjie_miao_,Yingjie,Miao,yingjie_miao_@gmail.com,930615Fly,I love Deep Learning Artificial Intelligence Machine Learning Data Science,"[8, 10, 2, 7]"
Pinterest Engineering,pinterest_engineering,Pinterest,Engineering,pinterest_engineering@gmail.com,930615Fly,I love Development Machine Learning Computer Vision Data Science Artificial Intelligence Deep Learning NLP Python,"[1, 2, 5, 7, 8, 10, 11, 14]"
